Year,Transect,node,mean,sd,MC_error,val2.5pc,median,val97.5pc,start,sample,,
2021,E2,N[45],1.653,1.027,0.003373,1,1,4,1001,300000,,
,,a.p,0.9549,0.3292,0.002807,0.2217,0.9834,1.56,1001,300000,,
,,p[1],0.7937,0.02993,3.16E-04,0.7322,0.7949,0.8493,1001,300000,,
,,p[2],0.7498,0.02948,2.74E-04,0.6898,0.7504,0.8056,1001,300000,,
,,p[3],0.6614,0.05551,5.12E-04,0.5488,0.663,0.7632,1001,300000,,
2012,A1,p.present[1],0.2982,0.3754,7.21E-04,0,0.09516,1,1001,300000,,
2012,A2,p.present[2],0.9815,0.04425,5.04E-04,0.8504,0.9998,1,1001,300000,,
2012,A3,p.present[3],0.9819,0.04424,5.19E-04,0.8504,0.9999,1,1001,300000,,
2012,A4,p.present[4],0.7202,0.1611,1.68E-03,0.3935,0.7275,1,1001,300000,,
2012,B1,p.present[5],0.9568,0.08136,1.26E-03,0.6988,0.9997,1,1001,300000,,
2012,B2,p.present[6],0.4961,0.1566,6.65E-04,0.1813,0.5034,0.7981,1001,300000,,
2012,B3,p.present[7],0.3954,0.1506,6.10E-04,0.1813,0.3935,0.6988,1001,300000,,
2012,B4,p.present[8],0.01383,0.04234,1.56E-04,0,0,0.09516,1001,300000,,
2012,C1,p.present[9],0.8472,0.1411,1.94E-03,0.5034,0.8775,1,1001,300000,,
2012,C2,p.present[10],0.396,0.1504,5.93E-04,0.1813,0.3935,0.6988,1001,300000,,
2012,C3,p.present[11],0.3956,0.1503,5.86E-04,0.09516,0.3935,0.6988,1001,300000,,
2012,D1,p.present[12],0.2113,0.1138,4.12E-04,0.09516,0.1813,0.5034,1001,300000,,
2012,D2,p.present[13],0.01396,0.0426,1.55E-04,0,0,0.1813,1001,300000,,
2012,E1,p.present[14],0.1514,0.08228,2.82E-04,0.09516,0.09516,0.3935,1001,300000,,
2012,E2,p.present[15],0.1514,0.08217,2.93E-04,0.09516,0.09516,0.3935,1001,300000,,
2015,A1,p.present[16],0.9456,0.08852,0.00122,0.6988,0.9939,1,1001,300000,,
2015,A2,p.present[17],0.9824,0.0438,5.17E-04,0.8504,0.9999,1,1001,300000,,
2015,A3,p.present[18],0.9813,0.04495,5.15E-04,0.8347,0.9998,1,1001,300000,,
2015,A4,p.present[19],0.717,0.1588,0.001521,0.3935,7.28E-01,0.9999,1001,300000,,
2015,B1,p.present[20],0.4969,0.1584,8.43E-04,0.1813,0.5034,0.8173,1001,300000,,
2015,B2,p.present[21],0.718,0.1602,0.00162,0.3935,0.7275,1,1001,300000,,
2015,B3,p.present[22],0.3969,0.1507,6.09E-04,0.1813,0.3935,0.6988,1001,300000,,
2015,B4,p.present[23],0.397,0.1511,8.54E-04,0.1813,0.3935,0.6988,1001,300000,,
2015,C1,p.present[24],8.47E-01,0.1406,0.001824,0.5034,0.8775,1,1001,300000,,
2015,C2,p.present[25],0.7271,0.1651,0.002161,0.3935,0.7275,1,1001,300000,,
2015,C3,p.present[26],0.2975,0.137,5.20E-04,0.09516,0.2592,0.5934,1001,300000,,
2015,D1,p.present[27],0.01408,0.04281,1.63E-04,0,0,0.1813,1001,300000,,
2015,D2,p.present[28],0.1521,0.08241,2.84E-04,0.09516,0.09516,0.3935,1001,300000,,
2015,E1,p.present[29],2.11E-01,0.114,4.15E-04,0.09516,1.81E-01,0.5034,1001,300000,,
2015,E2,p.present[30],0.01661,0.06595,0.001569,0,0,0.1813,1001,300000,,
2021,A1,p.present[31],0.9823,0.04365,5.12E-04,0.8504,0.9999,1,1001,300000,,
2021,A2,p.present[32],0.9817,0.04491,5.14E-04,0.8347,0.9999,1,1001,300000,,
2021,A3,p.present[33],0.9819,0.04432,5.25E-04,0.8504,0.9999,1,1001,300000,,
2021,A4,p.present[34],0.7862,0.1359,0.001149,0.5034,0.7981,0.9999,1001,300000,,
2021,B1,p.present[35],0.5745,0.1505,6.15E-04,0.2592,0.5934,0.8504,1001,300000,,
2021,B2,p.present[36],0.6744,0.1453,6.87E-04,0.3935,0.6988,0.9257,1001,300000,,
2021,B3,p.present[37],0.1481,0.07854,2.64E-04,0.09516,0.09516,0.3297,1001,300000,,
2021,B4,p.present[38],0.1484,0.07871,2.63E-04,0.09516,0.09516,0.3297,1001,300000,,
2021,C1,p.present[39],0.2046,0.1092,3.88E-04,0.09516,0.1813,0.4512,1001,300000,,
2021,C2,p.present[40],0.9181,0.1027,0.001467,0.6321,0.9592,1,1001,300000,,
2021,C3,p.present[41],0.6754,0.1451,6.85E-04,0.3935,0.6988,0.9257,1001,300000,,
2021,D1,p.present[42],0.2868,0.132,4.86E-04,0.09516,0.2592,0.5934,1001,300000,,
2021,D2,p.present[43],0.01341,0.04148,1.54E-04,0,0,0.09516,1001,300000,,
2021,E1,p.present[44],0.1488,0.07934,2.74E-04,0.09516,0.09516,0.3297,1001,300000,,
2021,E2,p.present[45],0.1482,0.07891,2.59E-04,0.09516,0.09516,0.3297,1001,300000,,
,,s.j.p,0.5055,0.243,2.00E-03,0.07715,0.4873,0.9612,1001,300000,,
